"","Sample1","Sample2","Sample3","Sample4"
"GeneA",152.803622238212,144.745170452006,272.983184928906,276.176079278757
"GeneB",687.616300071955,755.192193662639,160.578344075827,161.102712912608
"GeneC",15.2803622238212,11.3278829049396,36.1301274170611,38.3577887887163
"GeneD",1247.89624827873,1283.82672922649,698.515796729847,690.440198196893
"GeneE",382.009055595531,352.423023709232,16.0578344075827,16.8774270670352
"GeneF",2.54672703730354,1.2586536561044,12.043375805687,13.8088039639379
"GeneG",547.546313020261,566.394145246979,1043.75923649288,1089.36120159954
"GeneH",63.6681759325885,60.4153754930111,4.01445860189567,5.37009043042028
"GeneI",776.751746377579,780.365266784727,240.86751611374,237.818290490041
"GeneJ",15.2803622238212,17.6211511854616,64.2313376303308,70.578331371238
